idx,model_name,main,one_d_pos,high_d_pos,speed,reward,unconstrained,internal,leak,vector_gain,no_intercept,high_d_speed,reference
0,external_placefield_1d,1,1,0,0,0,0,0,0,0,0,0,
1,internal_placefield_1d,1,1,0,0,0,0,1,0,0,0,0,
2,external_placefield_1d_gain,1,1,0,0,0,0,0,0,0,0,0,
3,internal_placefield_1d_gain,1,1,0,0,0,0,1,0,0,0,0,
4,external_placefield_1d_vector_gain,0,1,0,0,0,0,0,0,1,0,0,external_placefield_1d_gain
5,internal_placefield_1d_vector_gain,0,1,0,0,0,0,1,0,1,0,0,internal_placefield_1d_gain
6,rbfpos_decoder_only,1,0,1,0,0,0,0,0,0,0,0,
7,rbfpos,1,0,1,0,0,0,1,0,0,0,0,rbfpos_decoder_only
8,rbfpos_leak,1,0,1,0,0,0,1,1,0,0,0,rbfpos_decoder_only
9,pos_speed_decoder_only,0,0,1,1,0,0,0,0,0,0,1,pos_speed_decoder_only_1dspeed
10,pos_speed,0,0,1,1,0,0,1,0,0,0,1,pos_speed_1dspeed
11,pos_speed_leak,0,0,1,1,0,0,1,1,0,0,1,pos_speed_leak_1dspeed
12,fullregressor_decoder_only,0,0,1,0,1,0,0,0,0,0,1,fullregressor_decoder_only_1dspeed
13,fullregressor,0,0,1,0,1,0,1,0,0,0,1,fullregressor_1dspeed
14,fullregressor_leak,0,0,1,0,1,0,1,1,0,0,1,fullregressor_leak_1dspeed
15,pos_speed_decoder_only_1dspeed,1,0,1,1,0,0,0,0,0,0,0,
16,pos_speed_1dspeed,1,0,1,1,0,0,1,0,0,0,0,pos_speed_decoder_only_1dspeed
17,pos_speed_leak_1dspeed,1,0,1,1,0,0,1,1,0,0,0,pos_speed_decoder_only_1dspeed
18,fullregressor_decoder_only_1dspeed,1,0,1,0,1,0,0,0,0,0,0,
19,fullregressor_1dspeed,1,0,1,0,1,0,1,0,0,0,0,fullregressor_decoder_only_1dspeed
20,fullregressor_leak_1dspeed,1,0,1,0,1,0,1,1,0,0,0,fullregressor_decoder_only_1dspeed
21,rbfpos_decoder_only_no_intercept,0,0,1,0,0,0,0,0,0,1,0,rbfpos_decoder_only
22,rbfpos_no_intercept,0,0,1,0,0,0,1,0,0,1,0,rbfpos
23,rbfpos_leak_no_intercept,0,0,1,0,0,0,1,1,0,1,0,rbfpos_leak
24,pos_speed_decoder_only_no_intercept,0,0,1,1,0,0,0,0,0,1,1,pos_speed_decoder_only_1dspeed
25,pos_speed_no_intercept,0,0,1,1,0,0,1,0,0,1,1,pos_speed_1dspeed
26,pos_speed_leak_no_intercept,0,0,1,1,0,0,1,1,0,1,1,pos_speed_leak_1dspeed
27,fullregressor_decoder_only_no_intercept,0,0,1,0,1,0,0,0,0,1,1,fullregressor_decoder_only_1dspeed
28,fullregressor_no_intercept,0,0,1,0,1,0,1,0,0,1,1,fullregressor_1dspeed
29,fullregressor_leak_no_intercept,0,0,1,0,1,0,1,1,0,1,1,fullregressor_leak_1dspeed
30,rrr,1,0,0,0,0,1,0,0,0,0,0,
31,rrr_no_intercept,0,0,0,0,0,1,0,0,0,1,0,rrr
